acadèmico_inta_corresponding,anio,coautor_inta,doi,if,if2022,if2023,if_2023,if_5y,nombre_primer_autor,primer_autor_inta,"prmer_autor_inta_(si,_no)",q,revista,tipo_documento,titulo,titulo_revista,disciplina_final
0,2015,"Uauy, Ricardo",10.1016/j.envres.2015.07.021,3088,,,,3827,"Steinmaus, Craig",No,,Q1,,Article,Obesity and excess weight in early adulthood and high risks of arsenic-related cancer in later life,ENVIRONMENTAL RESEARCH,environmental sciences
0,2019,"Navarrete, Paola",10.3390/ijms20112827,4556,,,,4653,"Plaza, Nicolas",No,,Q1,,Article,Conservation of Small Regulatory RNAs in Vibrio parahaemolyticus: Possible role of RNA-OUT Encoded by the Pathogenicity Island (VPaI-7) of Pandemic Strains,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"chemistry, multidisciplinary"
0,2018,"Cruchet, Sylvia",10.1111/apa.14378,2265,,,,2396,"Salvatore, Silvia",No,,Q2,,Review,Review shows that parental reassurance and nutritional advice help to optimise the management of functional gastrointestinal disorders in infants,ACTA PAEDIATRICA,pediatrics
"Bravo-Sagua, Roberto;Albala, Cecilia",2024,"Carlos Márquez ,
Bárbara Angel ",10.3389/fcell.2024.1301433,,,,4.6,5.2,Gianella Liabeuf,,No,Q1 ,,Article,Decreased mitochondrial respiration associates with frailty in community-dwelling older adults,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,cell biology
"(Arredondo-Olguin, Miguel",2016,0,10.1016/j.jtemb.2016.06.001,3225,,,,2978,"Andrews, Monica",no,,Q2,,Article,"Short repeats in the heme oxygenase 1 gene promoter is associated with increased levels of inflammation, ferritin and higher risk of type-2 diabetes mellitus",JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,biochemistry & molecular biology
0,2025,"Burrows, Raquel",10.1038/s41467-025-58574-z,15.7,,,,17.2,Maggie C. Y. Ng,No,,Q1,,Article,Large-scale multi-omics analyses in Hispanic/Latino populations identify genes for cardiometabolic traits,NATURE COMMUNICATIONS,multidisciplinary sciences
0,2024,"Igor Pacheco, Lee A. Meisel, ",10.3390/ijms25074081,,,,4.9,5.6,Osvin Arriagada,,no,Q1 ,,Article,A Past Genetic Bottleneck from Argentine Beans and a Selective Sweep Led to the Race Chile of the Common Bean (Phaseolus vulgaris L.),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"chemistry, multidisciplinary"
0,2022,"Reyes, Marcela; Burrows, Raquel ; Peirano, P  ; Algarín, C ",10.1016/j.psyneuen.2022.105718,,3.6,,,4.1,Fabian Lanuza Rilling,No,,Q1,PSYCHONEUROENDOCRINOLOGY,Article,Association of fasting Orexin-A levels with energy intake at breakfast and subsequent snack in Chilean adolescents,,neurosciences
"de Camargo, Adriano Costa",2021,0,10.3390/ijms22116010,6208,,,,6628,Geni Rodrigues Sampaio,No,,	Q1,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,Review,"Polycyclic Aromatic Hydrocarbons in Foods: Biological Effects, Legislation, Occurrence, Analytical Methods, and Strategies to Reduce Their Formation",,biochemistry & molecular biology - scie
0,2024,Victor Faúndes,,,,,8.1,9.7,Dmitrijs Rots,,No,Q1,,Article,Pathogenic variants in KMT2C result in a neurodevelopmental disorder distinct from Kleefstra and Kabuki syndromes,The American Journal of Human Genetics,genetics & heredity
0,2016,"Cruchet, Sylvia",10.1097/MPG.0000000000001133,2799,,,,2861,"Lo Vecchio, Andrea",no,,Q1,,Article,Comparison of Recommendations in Clinical Practice Guidelines for Acute Gastroenteritis in Children,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,gastroenterology & hepatology
"Arredondo-Olguin, Miguel",2023,0,10.1007/s12011-022-03443-9,,,3.4,,3.7,Manuel Ruz,No,,Q2,BIOLOGICAL TRACE ELEMENT RESEARCH,Article,Modulation of Zinc Transporter Expressions by Additional Zinc in C2C12 Cells Cultured in a High Glucose Environment and in the Presence of Insulin or Interleukin-6,,endocrinology & metabolism
0,2024,Rodrigo Pulgar ,,,,,2.1,2.4,"Phillip Dettleff
",,No,Q2,,Article,Effect of CRISPR/Cas9 Targets Associated with Iron Metabolism and Its Variation on Transcriptional Regulation of SHK-1 Cell Line as a Model for Iron Metabolism,Fishes,marine & freshwater biology
